CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15674932,Okwudilichukwu,668,France,Male,33.0,3,0.0,2,1.0,0.0,181449.97,0
15749177,Okwudiliolisa,627,France,Male,33.0,1,0.0,2,1.0,1.0,49503.5,0
15694510,Hsueh,678,France,Male,40.0,10,0.0,2,1.0,0.0,184866.69,0
15741417,Kao,581,France,Male,34.0,2,148882.54,1,1.0,1.0,84560.88,0
15766172,Chiemenam,716,Spain,Male,33.0,5,0.0,2,1.0,1.0,15068.83,0
15771669,Genovese,588,Germany,Male,36.0,4,131778.58,1,1.0,0.0,136024.31,1
15692819,Ch'ang,593,France,Female,30.0,8,144772.69,1,1.0,0.0,29792.11,0
15669611,Chukwuebuka,678,Spain,Male,37.0,1,138476.41,1,1.0,0.0,106851.6,0
15691707,Manna,676,France,Male,43.0,4,0.0,2,1.0,0.0,142917.13,0
15591721,Cattaneo,583,Germany,Male,40.0,4,81274.33,1,1.0,1.0,170843.07,0
15635097,Fokine,599,Germany,Female,27.0,6,161801.47,2,1.0,0.0,109184.24,0
15674671,Chiu,687,Germany,Male,40.0,3,90432.92,1,1.0,0.0,1676.92,0
15717962,Rossi,759,Spain,Male,71.0,9,0.0,1,1.0,1.0,93081.87,0
15793029,Ts'ai,681,France,Male,47.0,5,0.0,1,1.0,1.0,72945.68,0
15643294,Chukwuemeka,703,France,Female,33.0,7,190566.65,1,1.0,1.0,79997.14,0
15690958,Tung,549,France,Female,25.0,5,0.0,2,1.0,0.0,162260.93,0
15566543,Macdonald,602,France,Male,36.0,7,0.0,2,0.0,1.0,135082.47,0
15679804,Esquivel,636,France,Male,36.0,4,117559.05,2,1.0,0.0,111573.3,0
15671358,Hargreaves,645,Germany,Female,55.0,8,120105.43,1,1.0,0.0,125083.29,1
15650670,Ts'ui,559,France,Male,61.0,1,153711.26,1,0.0,1.0,180890.4,1
15781496,Udegbulam,773,Spain,Male,35.0,9,0.0,2,0.0,1.0,87549.36,0
15691808,Nnachetam,554,France,Male,41.0,8,0.0,2,1.0,0.0,113926.31,0
15759913,Trentini,553,Germany,Female,43.0,9,85200.82,1,1.0,0.0,160574.09,0
